38899,11,-0.2,9,0.1,9.4,0,-0.5,-0.3,8.1,0.1,-0.2,12.3,0.1,0.2,0,0.2,0.3,0.2,0.1,19,-0.07,0.31,0.08,1
39003,-11.9,10.6,10.1,1.7,-0.1,1.7,6.4,2.1,-1.3,1.6,2,6.8,2.1,2.3,2.2,2.1,3.8,3.3,1.6,50,1.14,-0.13,-0.07,4
39283,13.3,0.3,9.8,0.2,9.9,0,-0.5,-0.2,8.4,0.2,-0.2,14.6,-0.1,0.3,0.2,0.4,0.5,0.3,0.1,22,0.05,0.65,-0.12,1
39587,-0.1,8.3,7.7,1,2.1,0.8,3.9,1.2,1.3,1,1.1,6.6,1.5,1.3,1.2,1.9,2.6,1.7,0.7,40,0.59,4.72,-0.03,2
40035,-9.6,10.3,9.6,1.5,0.1,1.3,6.2,1.9,-1.1,1.5,1.8,6.6,2,2.1,1.8,2,3.6,2.9,1.4,50,1,0.55,-0.26,3
40136,6.9,5.2,7.2,0.3,5.1,0.1,0.8,0.1,4.9,0.5,0.5,9.8,0.5,0.8,0.9,0.5,1.8,1.1,0.4,31,0.34,2.81,-0.2,2
40183,13.1,0.3,9.7,0.1,9.8,0,-0.3,-0.2,8.4,0.3,-0.1,14.6,-0.1,0.4,0.3,0.3,0.8,0.5,0.2,22,0.08,-0.15,-0.03,1
40801,-8.3,10,9.4,1.5,0.6,1.4,6.4,2,-1.4,1.5,1.7,6.2,1.9,1.9,1.9,2.7,3.4,2.7,1.3,50,0.97,1.58,-0.2,3
41330,0.7,8.8,8,0.9,2.1,0.7,4.3,1.2,1.1,0.9,1,6.2,1.2,1.2,1.2,1.7,2.2,1.6,0.6,40,0.6,4.01,-0.24,2
41597,-8,10.5,9.8,1.3,0.1,1.3,6.5,1.9,-1.2,1.3,1.9,5.9,1.7,1.7,1.8,1.6,3,2.6,1.2,48,1.09,0.21,-0.49,3
42475,-4.7,5.5,7.4,1.1,-0.5,1.9,3.7,1.1,1.5,1.3,5.3,8.7,2.9,4.9,3.3,0.5,4.2,6,2.9,61,2.25,-20,-0.36,4
43039,-7.8,10.3,9.7,1.3,0.2,1.2,6.5,1.9,-1.2,1.3,1.8,6.1,1.8,1.9,1.8,2,3.2,2.6,1.3,48,1.02,0.78,-0.41,3
43042,3.9,7.6,7.6,0.6,3.7,0.4,2,0.5,3.4,0.6,0.8,8.3,0.9,1,1.1,0.8,2,1.3,0.5,36,0.44,3.58,0.04,2
43318,3.1,7.9,7.5,0.6,2.9,0.4,2.8,0.6,2.5,0.6,0.9,6.9,0.8,0.9,1,0.7,1.9,1.3,0.6,36,0.5,2.89,-0.17,2
43380,-5.2,9.2,8.8,1.4,0.9,1.6,5.8,1.9,-0.9,1.4,1.7,6.8,2.1,2.4,2.3,3.4,3.9,3.6,1.6,52,1.11,1.25,-0.01,3
43947,1.5,8.3,7.7,0.8,2.3,0.6,3.8,1,1.6,0.8,0.8,6,1,0.9,1,1.6,1.9,1.3,0.5,38,0.67,4.33,-0.3,2
44478,-10.8,9.3,9,1.7,1.7,5.1,2.4,1.4,-0.7,1.5,2.6,5.2,0.1,5.4,2.1,5.9,2.5,4.6,1.8,63,1.64,-1.38,0.11,6
45410,-7.8,9.8,9.2,1.5,0.6,1.2,6.2,2,-1.1,1.4,1.5,6.6,1.9,1.8,1.7,2.6,3.4,2.7,1.2,50,0.94,2.1,0.01,3
46184,-13.4,10.8,10.5,2,0.4,2.8,6.1,2.2,-1.5,1.9,2.2,7.2,2.1,2.7,2.7,2.8,4.2,4.1,1.9,51,1.27,0.04,0.01,4
47105,12.3,0.7,9.6,0.1,9.7,0,-0.3,-0.3,8.3,0.2,-0.2,13.5,0,0.3,0.1,0.4,0.6,0.5,0.2,20,0.03,-0.63,0.05,1
47205,-10.5,9.9,9.5,1.9,0.7,1.9,6.4,2.2,-1.6,1.7,1.7,7.1,2.2,2.5,2.3,3.7,4.4,3.7,1.6,51,1.05,2.47,0.22,4
48432,-8.8,10.1,9.4,1.5,0.4,1.3,6,1.9,-1,1.4,1.6,6.5,1.9,2,1.7,2.1,3.4,2.8,1.3,50,0.96,1.33,-0.32,3
48433,-12.1,10.7,10.2,1.7,0.1,1.9,6,2,-1.2,1.7,2.1,6.7,1.9,2.3,2.2,2.1,3.8,3.3,1.6,51,1.16,-0.15,-0.31,4
49520,-13.1,10.7,10.4,1.9,0.3,2.6,6.2,2.2,-1.5,1.8,2.2,7.2,2,2.6,2.6,2.6,4.1,4,1.8,53,1.27,-0.22,-0.02,4
51530,2.9,7.8,7.3,0.5,2.5,0.4,3,0.7,2.1,0.6,0.7,5.9,0.8,0.7,1,0.8,1.6,1.2,0.4,38,0.46,2.72,-0.56,2
52711,0.5,8.7,8,0.9,2.1,0.7,4.4,1.3,1,0.9,1,6.5,1.4,1.3,1.3,2,2.4,1.7,0.7,44,0.6,4.53,-0.15,2
55280,-12.1,10.3,9.8,1.8,0.6,1.9,6.1,2.1,-1.4,1.7,1.9,7,2.1,2.5,2.2,2.9,4.1,3.6,1.6,52,1.07,1.34,-0.08,4
55575,1.3,8.4,7.8,0.8,2.1,0.7,4.3,1.2,1.1,0.8,0.9,5.7,1.1,1,1.1,1.8,2,1.4,0.5,40,0.56,4.47,-0.28,2
